species,gmm_prob_0_mean,gmm_prob_1_mean,gmm_prob_2_mean,gmm_prob_3_mean,gmm_prob_4_mean,gmm_prob_5_mean,gmm_prob_6_mean,gmm_prob_7_mean,n_sequences,n_recordings,family_clean,social_bond,communal,territory,sexual_selection,mass,Beak.Length_Culmen,Beak.Width,Beak.Depth,Hand-Wing.Index,learners
Cinnycerthia_fulva,1.0069827805377647e-08,0.4040831899063944,0.18750148815975684,0.0011128739134348303,0.036394476676752795,0.08054711399272967,0.2897976737376965,0.0005631735434074447,28,4,Troglodytidae_(Wrens),3.0,1.0,3.0,0.0,16.5,18.2,3.6,4.0,11.9,Oscines
Cinnycerthia_olivascens,0.00022721341681448276,0.1467735241824628,0.17164925718751087,0.5665631386943192,1.5317602864412278e-06,0.007519519133881598,0.10725675692113985,9.058703584823294e-06,48,14,Troglodytidae_(Wrens),3.0,1.0,3.0,0.0,24.4,17.9,3.9,4.8,9.4,Oscines
Cinnycerthia_peruana,0.026757761365702848,0.10600704147979803,0.5380396683817362,0.04590981112143738,2.014559567958812e-05,0.09800907486362223,0.1840252846315735,0.0012312125604500251,20,4,Troglodytidae_(Wrens),3.0,1.0,3.0,0.0,19.46,17.6,4.1,4.7,10.3,Oscines
Cinnycerthia_unirufa,1.1580670801632754e-05,0.8290437546185293,1.041291213871624e-07,0.16647831912383182,1.0499680472787576e-09,9.92828034673722e-05,0.004366863325398799,9.427888032312911e-08,6,6,Troglodytidae_(Wrens),3.0,1.0,3.0,0.0,29.4,18.8,3.8,4.6,12.3,Oscines
Cinnyris_afer,9.023903880773214e-18,0.16623658810307687,0.0004989931646366762,0.0430691608555925,5.402321503060665e-06,0.4436245801061567,0.3065453595831738,0.040019915865860074,24,2,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,11.1,28.8,3.6,3.1,16.7,Oscines
Cinnyris_asiaticus,1.313414109405222e-09,0.022887888250432396,0.0004341344846641508,0.4306948864744881,0.04803923963346138,0.024060148465561072,0.4482041604842838,0.025679540893695063,40,9,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,8.1,20.3,3.7,3.2,20.6,Oscines
Cinnyris_bifasciatus,7.10236573396819e-17,0.000405271342012707,0.0886271710664021,0.6455610699822564,0.0001246047352496098,0.06494681199700965,0.19866274906376777,0.0016723218133017038,35,9,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,7.18,19.8,3.1,3.0,15.0,Oscines
Cinnyris_chalybeus,2.3668559597578257e-06,0.007006848331310258,0.0023638574372254932,0.6151116925673482,0.00014800055133587126,0.009279150036317498,0.31954556142725615,0.04654252279324669,64,14,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,7.73,21.8,2.8,2.4,20.6,Oscines
Cinnyris_chloropygius,1.3329407613627943e-17,0.0015601369214825092,0.2707453651625035,0.26626973955644634,7.372956683141576e-06,0.15970748769305923,0.2878148753189486,0.013895022390876482,22,4,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,6.2,19.8,3.1,2.7,14.6,Oscines
Cinnyris_coccinigastrus,1.6449711244874353e-13,0.0018914942934136895,0.00023994414262532696,0.3896278426863629,5.707346683696364e-07,0.4059209854446827,0.1973528931363264,0.004966269561756349,13,2,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,14.3,26.5,4.0,3.5,17.1,Oscines
Cinnyris_fuscus,5.444049462673016e-19,1.7580963656542287e-05,0.5688993712729017,0.04987463409476885,0.14326435539060134,0.00027738597946627073,0.19138620728688965,0.04628046501171566,21,4,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,7.83,21.3,3.4,3.0,17.6,Oscines
