grid_id,observed_fdis,null_mean_fdis,null_sd_fdis,n_valid_perms,ses_fdis,p_value_fdis_higher
lonn175p000000_lat52p000000,0.09987252362778776,0.10742377973795005,0.01009895392912062,99,-0.7477265628856893,0.77
lonn175p000000_lat64p000000,0.097947359567717,0.11596805569069069,0.012024804830720116,99,-1.4986269113437665,0.93
lonn175p000000_lat65p000000,0.097947359567717,0.11441089397892988,0.011727779769551822,99,-1.4038065801641533,0.92
lonn175p000000_lat66p000000,0.097947359567717,0.11501373889943789,0.010472490032981228,99,-1.6296391095120066,0.93
lonn175p000000_lat67p000000,0.097947359567717,0.11460030999807783,0.01105983264754806,99,-1.5057145041026232,0.93
lonn174p000000_lat52p000000,0.09987252362778776,0.10867995000200206,0.011558646557211127,99,-0.7619773068257365,0.78
lonn174p000000_lat64p000000,0.097947359567717,0.11689381927196586,0.011718200361780277,99,-1.61684039522349,0.95
lonn174p000000_lat65p000000,0.097947359567717,0.11634076130218582,0.010723033382330197,99,-1.715317026316279,0.96
lonn174p000000_lat66p000000,0.097947359567717,0.11675967908284189,0.009822869137243085,99,-1.9151552618978305,0.98
lonn174p000000_lat67p000000,0.097947359567717,0.11659851862035939,0.010362125604521372,99,-1.7999356275419218,0.94
lonn173p000000_lat52p000000,0.09987252362778776,0.10723465312665266,0.010691500324517095,99,-0.6885964808870199,0.76
lonn173p000000_lat64p000000,0.097947359567717,0.11599075954645303,0.010809241837926191,99,-1.6692567572526213,0.95
lonn173p000000_lat65p000000,0.097947359567717,0.11587448223676011,0.011431510806991044,99,-1.568219894266261,0.96
lonn173p000000_lat66p000000,0.097947359567717,0.11675373036769343,0.010349470374350703,99,-1.8171336425663516,0.96
lonn173p000000_lat67p000000,0.097947359567717,0.11507643897639945,0.012636611921131736,99,-1.3555120245513066,0.89
lonn172p000000_lat52p000000,0.09987252362778776,0.1103843929917267,0.011159118394441775,99,-0.9419981930808063,0.88
lonn172p000000_lat65p000000,0.097947359567717,0.11445036644451838,0.010516388900681881,99,-1.569265556138888,0.94
lonn172p000000_lat66p000000,0.097947359567717,0.11531007113915989,0.01072958316273967,99,-1.6182093291133537,0.95
lonn171p000000_lat52p000000,0.09987252362778776,0.10711507955791705,0.010263281150112841,99,-0.7056764619616468,0.77
lonn171p000000_lat65p000000,0.097947359567717,0.11398608326824904,0.010484680337630234,99,-1.5297293941302115,0.92
lonn171p000000_lat66p000000,0.097947359567717,0.11547059436139345,0.01155482021865656,99,-1.516530284511326,0.93
lonn170p000000_lat52p000000,0.09857850679751884,0.10738307382432051,0.00942498084011373,99,-0.9341734668922073,0.85
lonn170p000000_lat53p000000,0.09987252362778776,0.10910829395601451,0.011373911769539766,99,-0.812013537238866,0.79
lonn170p000000_lat65p000000,0.10617823689244389,0.11545181335162648,0.012119837011912361,99,-0.7651568622637219,0.8
lonn170p000000_lat66p000000,0.097947359567717,0.11317033499661099,0.01381058213581321,99,-1.1022689180797238,0.85
lonn169p000000_lat52p000000,0.09857850679751884,0.10873280954650674,0.011219871429661592,99,-0.9050284410695937,0.83
lonn169p000000_lat53p000000,0.09857850679751884,0.10808481923675596,0.010467635559874205,99,-0.9081623433354766,0.86
lonn169p000000_lat64p000000,0.10286229255394452,0.10766093394586437,0.00964871630143135,99,-0.49733469634794736,0.65
lonn169p000000_lat65p000000,0.1006390160550838,0.11017201754703915,0.009097716545590117,99,-1.0478455164198568,0.83
lonn168p000000_lat53p000000,0.09857850679751884,0.10823043695014836,0.011958380820228801,99,-0.8071268424820788,0.8
lonn168p000000_lat65p000000,0.1006390160550838,0.11009482397686857,0.008748703809555,99,-1.0808238714696796,0.85
lonn167p000000_lat53p000000,0.10459373697359851,0.1088482979637766,0.009261095018348499,99,-0.4594015050864671,0.69
lonn167p000000_lat54p000000,0.10459373697359851,0.1098747382714066,0.009615769832791344,99,-0.5492021325010312,0.7
lonn167p000000_lat61p000000,0.10911796589881856,0.11059912375373082,0.0072455129260674865,99,-0.20442415464934705,0.56
lonn167p000000_lat62p000000,0.10372685470203293,0.11039285837839322,0.010260479582737412,99,-0.6496775928072025,0.74
lonn167p000000_lat64p000000,0.11104211453225718,0.11087784316350727,0.007969529036516553,99,0.020612431173438,0.52
lonn167p000000_lat65p000000,0.10561020173076888,0.1108641989981897,0.008219622291537151,99,-0.6392017882415699,0.73
lonn167p000000_lat66p000000,0.10160646695380134,0.10893010341166943,0.008765755474075135,99,-0.8354826323330458,0.82
lonn167p000000_lat68p000000,0.1064353483631229,0.10818802994522715,0.009794303447449831,99,-0.17894907907520427,0.56
